Date,Brand,Title,price_full,price_soft,priceoff,Rating,Review Count
17/08/2024,Shiseido,Expert Sun Protector Face Cream FPS 50+ - Protetor Solar Facial 50ml,"298,90","282,90",5,"50,00",2
17/08/2024,Ligia Kogos,Pele Seca FPS 15 - Hidratante Facial 40ml,"94,49","50,00",47,"49,00",7
17/08/2024,Cetaphil,Oil Control - Hidratante Facial 89ml,"139,90","131,90",6,"0,00",0
17/08/2024,Cosmobeauty,Regenera Derm Hidratante Facial Intensivo 50ml - Normal,"219,99","195,99",11,"0,00",0
17/08/2024,FQM,Protetor Solar Heliomax FPS 70 Gel Creme Claro 50g,"106,02","87,96",17,"50,00",1
17/08/2024,Marina Smith,Biótica - Hidratante Facial 30ml,"88,90","57,90",35,"0,00",0
17/08/2024,Profuse,Hidradeep Daily - Hidratante Corporal e Facial 400g,"104,37","88,44",15,"0,00",0
17/08/2024,Bel Col,Arquitetus Plus - Hidratante Facial 55g,"192,15","172,93",10,"0,00",0
17/08/2024,Ruby Rose,Ruby Skin - Hidratante Facial 50g,"23,00","19,00",17,"0,00",0
17/08/2024,Natupele,Melanesse Regenerate - Hidratante Facial Calmante 30g,"110,00","78,00",29,"0,00",0
17/08/2024,Profuse,Hidradeep Intensive - Hidratante Corporal e Facial 200g,"79,90","61,99",22,"0,00",0
17/08/2024,Cosmobeauty,Cosmoblock Antiacne FPS 70 PPD 30 - Protetor Solar Facial 100g,"277,31","194,12",30,"0,00",0
17/08/2024,Divcom pharma,Imecap Face Creme Antirrugas Dia FPS 30 com 35g,"75,63","47,13",38,"0,00",0
17/08/2024,Rugol,Creme de Beleza FPS30 - Protetor Solar 50g,"76,25","47,56",38,"0,00",0
17/08/2024,"Quem Disse, Berenice?","Quem Disse, Berenice? Skin.q Delícia FPS 70 Cor 04 - Protetor Solar Facial 40ml","64,90","51,90",20,"0,00",0
17/08/2024,Dermage,Regenerage Face - Hidratante Facial 30g,"138,09","125,54",9,"0,00",0
17/08/2024,Labotrat,KIT ANTI IDADE FACIAL SKIN CARE HIDRATAÇÃO NOTURNA - LABOTRAT,"190,00","169,90",11,"0,00",0
17/08/2024,CIMED,Protetor Solar Facial Milimetric Skincare FPS70 40g,"67,10","59,93",11,"0,00",0
17/08/2024,FQM,Protetor Solar Heliomax FPS 70 Gel Creme Sem Cor 50g,"106,02","85,28",20,"0,00",0
17/08/2024,Bel Col,Hialuderme - Hidratante Facial 30ml,"315,49","286,81",9,"0,00",0
17/08/2024,Divcom pharma,Imecap Face Creme Antirrugas Noturno 35g,"106,14","50,98",52,"0,00",0
17/08/2024,Super Poderes,- Hidratante Facial Pós-Maquiagem 100ml,"26,49","21,49",19,"0,00",0
17/08/2024,NeoStrata,Minesol Oil Control FPS 70 - Protetor Solar Facial 40g,"103,90","86,90",16,"49,00",75
17/08/2024,Cosmobeauty,H2 Derme Shock 360 - Tratamento Hidratante Facial,"184,87","129,41",30,"0,00",0
17/08/2024,Samana,Hyalumax  6x Ácido Hialurônico - Peenchedor Facial 30g,"242,90","232,90",4,"0,00",0
17/08/2024,Esthederm,Kit Estherm Anti-Idade Lift & Repair - Creme Facial e Creme para os Olhos e Sérum Facial,"1559,90","1337,90",14,"0,00",0
17/08/2024,Bioderma,Photoderm Nude Touch FPS 50+ 2.0 - Protetor Solar Facial com Cor 40ml,"125,90","97,90",22,"44,00",71
17/08/2024,La Roche-Posay,Anthelios Airlicium FPS 30 - Protetor Solar Facial 50g,"94,90","64,90",32,"47,00",42
17/08/2024,Australian Gold,Antipoluição FPS 30 - Protetor Solar Facial 50g,"59,90","30,90",48,"48,00",18
17/08/2024,CeraVe,Moisturising - Loção Hidratante Facial 52ml,"99,90","59,90",40,"50,00",128
17/08/2024,Bioderma,Hydrabio - Sérum Hidratante Facial 40ml,"156,90","99,90",36,"49,00",213
17/08/2024,FQM,Protetor Solar Heliomax FPS 70 Gel Creme Cor Médio 50g,"122,00","99,34",19,"0,00",0
17/08/2024,La Roche-Posay,Anthelios Hydraox FPS60 - Protetor Solar 50ml,"109,90","87,90",20,"49,00",106
17/08/2024,La Roche-Posay,Anthelios XL Protect FPS60 - Protetor Solar 40g,"84,90","67,90",20,"49,00",65
17/08/2024,Vult,Kit Facial Sérum Antioxidante + Multiprotetor Solar + Creme para Área dos Olhos (3 Produtos),"159,70","127,90",20,"35,00",2
17/08/2024,Australian Gold,FPS 70 - Protetor Solar Facial 50g,"85,90","62,90",27,"45,00",14
17/08/2024,Payot,Vitamina C Revitalizante - Tônico Facial 220ml,"47,90","35,90",25,"48,00",155
17/08/2024,Mantecorp,Ivy C Ferulic - Sérum Facial Rejuvenescedor 30g,"249,90","236,90",5,"46,00",18
17/08/2024,L'Oréal Paris,Revitalift Retinol - Sérum Facial Noturno 30ml,"150,90","122,90",19,"49,00",242
17/08/2024,SkinCeuticals,Blemish + Age Solution - Tônico Facial 125ml,"98,90","64,90",34,"48,00",192
17/08/2024,Pink Cheeks,Pink Stick 42KM Rio FPS 90 - Protetor Solar com Cor 14g,"119,90","97,90",18,"48,00",281
17/08/2024,NIVEA,Controle do Brilho - Tônico Adstringente Facial 200ml,"31,90","26,90",16,"47,00",67
17/08/2024,NeoStrata,Minesol Oil Control FPS 70 Pele Clara - Protetor Solar com Cor 40g,"103,90","87,90",15,"48,00",23
17/08/2024,Skin Aqua,Tone Up UV Essence Mint Green FPS50 - Protetor Solar 80g,"118,90","93,90",21,"44,00",9
17/08/2024,La Roche-Posay,Kit Limpeza e Proteção (2 produtos),"209,80","166,80",20,"50,00",4
17/08/2024,Payot,FPS 30 - Hidratante Facial Diurno 45g,"108,90","84,90",22,"50,00",1
